insee_code,name,postal_codes,department_code,department_name
01001,L'Abergement-Clémenciat,01400,01,Ain
01002,L'Abergement-de-Varey,01640,01,Ain
01004,Ambérieu-en-Bugey,01500,01,Ain
01005,Ambérieux-en-Dombes,01330,01,Ain
01006,Ambléon,01300,01,Ain
01007,Ambronay,01500,01,Ain
01008,Ambutrix,01500,01,Ain
01009,Andert-et-Condon,01300,01,Ain
01010,Anglefort,01350,01,Ain
01011,Apremont,01100,01,Ain
01012,Aranc,01110,01,Ain
01013,Arandas,01230,01,Ain
01014,Arbent,01100,01,Ain
01015,Arboys en Bugey,01300,01,Ain
01016,Arbigny,01190,01,Ain
01017,Argis,01230,01,Ain
01019,Armix,01510,01,Ain
01021,Ars-sur-Formans,01480,01,Ain
01022,Artemare,01510,01,Ain
01023,Asnières-sur-Saône,01570,01,Ain
01024,Attignat,01340,01,Ain
01025,Bâgé-Dommartin,01380,01,Ain
01026,Bâgé-le-Châtel,01380,01,Ain
01027,Balan,01360,01,Ain
01028,Baneins,01990,01,Ain
01029,Beaupont,01270,01,Ain
01030,Beauregard,01480,01,Ain
01031,Bellignat,01100,01,Ain
01032,Béligneux,01360,01,Ain
01033,Valserhône,01200,01,Ain
01034,Belley,01300,01,Ain
01035,Belleydoux,01130,01,Ain
01036,Valromey-sur-Séran,01260,01,Ain
01037,Bénonces,01470,01,Ain
01038,Bény,01370,01,Ain
01040,Béréziat,01340,01,Ain
01041,Bettant,01500,01,Ain
01042,Bey,01290,01,Ain
01043,Beynost,01700,01,Ain
01044,Billiat,01200,01,Ain
01045,Birieux,01330,01,Ain
01046,Biziat,01290,01,Ain
01047,Blyes,01150,01,Ain
01049,La Boisse,01120,01,Ain
01050,Boissey,01190;01380,01,Ain
01051,Bolozon,01450,01,Ain
01052,Bouligneux,01330,01,Ain
01053,Bourg-en-Bresse,01000,01,Ain
01054,Bourg-Saint-Christophe,01800,01,Ain
01056,Boyeux-Saint-Jérôme,01640,01,Ain
01057,Boz,01190,01,Ain
01058,Brégnier-Cordon,01300,01,Ain
01060,Brénod,01110,01,Ain
01061,Brens,01300,01,Ain
01062,Bressolles,01360,01,Ain
01063,Brion,01460,01,Ain
01064,Briord,01470,01,Ain
01065,Buellas,01310,01,Ain
01066,La Burbanche,01510,01,Ain
01067,Ceignes,01430,01,Ain
01068,Cerdon,01450,01,Ain
01069,Certines,01240,01,Ain
01071,Cessy,01170,01,Ain
01072,Ceyzériat,01250,01,Ain
01073,Ceyzérieu,01350,01,Ain
01074,Chalamont,01320,01,Ain
01075,Chaleins,01480,01,Ain
01076,Chaley,01230,01,Ain
01077,Challes-la-Montagne,01450,01,Ain
01078,Challex,01630,01,Ain
01079,Champagne-en-Valromey,01260,01,Ain
01080,Champdor-Corcelles,01110,01,Ain
01081,Champfromier,01410,01,Ain
01082,Chanay,01420,01,Ain
01083,Chaneins,01990,01,Ain
01084,Chanoz-Châtenay,01400,01,Ain
01085,La Chapelle-du-Châtelard,01240,01,Ain
01087,Charix,01130,01,Ain
01088,Charnoz-sur-Ain,01800,01,Ain
01089,Château-Gaillard,01500,01,Ain
01090,Châtenay,01320,01,Ain
01092,Châtillon-la-Palud,01320,01,Ain
01093,Châtillon-sur-Chalaronne,01400,01,Ain
01094,Chavannes-sur-Reyssouze,01190,01,Ain
01095,Nivigne et Suran,01250,01,Ain
01096,Chaveyriat,01660,01,Ain
01098,Chazey-Bons,01300;01510,01,Ain
01099,Chazey-sur-Ain,01150,01,Ain
01100,Cheignieu-la-Balme,01510,01,Ain
01101,Chevillard,01430,01,Ain
01102,Chevroux,01190,01,Ain
01103,Chevry,01170,01,Ain
01104,Chézery-Forens,01200;01410,01,Ain
01105,Civrieux,01390,01,Ain
01106,Cize,01250,01,Ain
01107,Cleyzieu,01230,01,Ain
01108,Coligny,01270,01,Ain
01109,Collonges,01550,01,Ain
01110,Colomieu,01300,01,Ain
01111,Conand,01230,01,Ain
01112,Condamine,01430,01,Ain
01113,Condeissiat,01400,01,Ain
01114,Confort,01200,01,Ain
01115,Confrançon,01310,01,Ain
01116,Contrevoz,01300,01,Ain
01117,Conzieu,01300,01,Ain
01118,Corbonod,01420,01,Ain
01121,Corlier,01110,01,Ain
01123,Cormoranche-sur-Saône,01290,01,Ain
01124,Cormoz,01560,01,Ain
01125,Corveissiat,01250,01,Ain
01127,Courmangoux,01370,01,Ain
01128,Courtes,01560,01,Ain
01129,Crans,01320,01,Ain
01130,Bresse Vallons,01340,01,Ain
01133,Cressin-Rochefort,01350,01,Ain
01134,Crottet,01290;01750,01,Ain
01135,Crozet,01170,01,Ain
01136,Cruzilles-lès-Mépillat,01290,01,Ain
01138,Culoz-Béon,01350,01,Ain
01139,Curciat-Dongalon,01560,01,Ain
01140,Curtafond,01310,01,Ain
01141,Cuzieu,01300,01,Ain
01142,Dagneux,01120,01,Ain
01143,Divonne-les-Bains,01220,01,Ain
01145,Dompierre-sur-Veyle,01240,01,Ain
01146,Dompierre-sur-Chalaronne,01400,01,Ain
01147,Domsure,01270,01,Ain
01148,Dortan,01590,01,Ain
01149,Douvres,01500,01,Ain
01150,Drom,01250,01,Ain
01151,Druillat,01160,01,Ain
01152,Échallon,01130,01,Ain
01153,Échenevex,01170,01,Ain
01155,Évosges,01230,01,Ain
01156,Faramans,01800,01,Ain
01157,Fareins,01480,01,Ain
01158,Farges,01550,01,Ain
01159,Feillens,01570,01,Ain
01160,Ferney-Voltaire,01210,01,Ain
01162,Flaxieu,01350,01,Ain
01163,Foissiat,01340,01,Ain
01165,Francheleins,01090,01,Ain
01166,Frans,01480,01,Ain
01167,Garnerans,01140,01,Ain
01169,Genouilleux,01090,01,Ain
01170,Béard-Géovreissiat,01460,01,Ain
01171,Géovreisset,01100,01,Ain
01173,Gex,01170,01,Ain
01174,Giron,01130,01,Ain
01175,Gorrevod,01190,01,Ain
